Question,Answer,Class
የፕሪ ኢንጂነሪንግ ጥናት ለምን ያስፈልጋል?,ተማሪዎች የምህንድስና ማስተዋወቂያ ትምህርትን ፣ መሰረታዊ የሳይንስ ኮርሶችን ፣ የቋንቋ ትምህርቶችን ፣ የኮምፒተር ትምህርቶችን (ኮርስ) እና የዩኒቨርሲቲ የጋራ ኮርሶችን የሚያጠቃልሉ የምህንድስና መሰረታዊ ነገሮችን በቅድመ ምህንድስና (ፕሪ ኢንጂነሪንግ) መውሰድ አለባቸው ፡፡ እነዚህ ትምህርቶች የምህንድስና ማስተዋወቂያ ኮርሶችን ጨምሮ የተማሪዎችን አጠቃላይ ትምህርት ሰፋ ለማድረግ ይረዳሉ እንዲሁም ተማሪዎች የተለያዩ የመማር ማስተማር ስራዎች ጣዕም እንዲያገኙ ያስችላቸዋል ፡፡ ተማሪዎች በዲፓርትመንት ምርጫ ወቅት በእውቀት ምርጫ እንዲወስኑ የሚረዳቸውን ፣እነዚህን ኮርሶች በማጥናት ጥንካሬዎቻቸውን እና ፍላጎታቸውን በተሻለ ሊረዱ ይችላሉ ፡፡,ፕሪ ኢንጂነሪንግ
ወደ የምህንድስና ፋኩልቲ ለመግባት ምን አይነት መመዘኛዎች ያስፈልጉኛል?,የቅድመ ምረቃ መርሃ ግብሮች ምዝገባ የመሰናዶ ትምህርት ቤት ፕሮግራሙን ማጠናቀቅን የሚገልፅ ድጋፍ እና ከኢትዮጵያ ከፍተኛ ትምህርት መግቢያ የምስክር ወረቀት (EHEECE) ውስጥ አስፈላጊውን የማለፊያ ነጥብን ያገኙት ላይ የተመሠረተ ነው ፡፡ EIT-M ተመራቂዎችን በትምህርት ሚኒስቴር (MoE) እና / ወይም በዩኒቨርሲቲው በተመደበው የመግቢያ ብቃት ምዘና የሚያሟሉ በኢንጂነሪንግ ክፍለ ትምህርት ለማስተማርና ለማሠልጠን ተማሪዎችን ይቀበላል።,ኢንጂነሪንግ መግቢያ
ወደ የምህንድስና ፋካሊቲ ለመግባት ምን ማድረግ አለብኝ?,የቅድመ ምረቃ መርሃ ግብሮች ምዝገባ የመሰናዶ ትምህርት ቤት ፕሮግራሙን ማጠናቀቅን የሚገልፅ ድጋፍ እና ከኢትዮጵያ ከፍተኛ ትምህርት መግቢያ የምስክር ወረቀት (EHEECE) ውስጥ አስፈላጊውን የማለፊያ ነጥብን ያገኙት ላይ የተመሠረተ ነው ፡፡ EIT-M ተመራቂዎችን በትምህርት ሚኒስቴር (MoE) እና / ወይም በዩኒቨርሲቲው በተመደበው የመግቢያ ብቃት ምዘና የሚያሟሉ በኢንጂነሪንግ ክፍለ ትምህርት ለማስተማርና ለማሠልጠን ተማሪዎችን ይቀበላል።,ኢንጂነሪንግ መግቢያ
ወደ የምህንድስና ክፍል ለመግባት ምን መስፈርት ነው ሚያስፈልገው,የቅድመ ምረቃ መርሃ ግብሮች ምዝገባ የመሰናዶ ትምህርት ቤት ፕሮግራሙን ማጠናቀቅን የሚገልፅ ድጋፍ እና ከኢትዮጵያ ከፍተኛ ትምህርት መግቢያ የምስክር ወረቀት (EHEECE) ውስጥ አስፈላጊውን የማለፊያ ነጥብን ያገኙት ላይ የተመሠረተ ነው ፡፡ EIT-M ተመራቂዎችን በትምህርት ሚኒስቴር (MoE) እና / ወይም በዩኒቨርሲቲው በተመደበው የመግቢያ ብቃት ምዘና የሚያሟሉ በኢንጂነሪንግ ክፍለ ትምህርት ለማስተማርና ለማሠልጠን ተማሪዎችን ይቀበላል።,ኢንጂነሪንግ መግቢያ
የኢንጂነሪንግ ፋካሊቲ ለመመዝገብ ምን አይነት መመዘኛዎች ያስፈልጉኛል?,የቅድመ ምረቃ መርሃ ግብሮች ምዝገባ የመሰናዶ ትምህርት ቤት ፕሮግራሙን ማጠናቀቅን የሚገልፅ ድጋፍ እና ከኢትዮጵያ ከፍተኛ ትምህርት መግቢያ የምስክር ወረቀት (EHEECE) ውስጥ አስፈላጊውን የማለፊያ ነጥብን ያገኙት ላይ የተመሠረተ ነው ፡፡ EIT-M ተመራቂዎችን በትምህርት ሚኒስቴር (MoE) እና / ወይም በዩኒቨርሲቲው በተመደበው የመግቢያ ብቃት ምዘና የሚያሟሉ በኢንጂነሪንግ ክፍለ ትምህርት ለማስተማርና ለማሠልጠን ተማሪዎችን ይቀበላል።,ኢንጂነሪንግ መግቢያ
የኢንጂነሪንግ ፋካሊቲ ለመግባት ምን አይነት መመዘኛዎች ያስፈልጉኛል?,የቅድመ ምረቃ መርሃ ግብሮች ምዝገባ የመሰናዶ ትምህርት ቤት ፕሮግራሙን ማጠናቀቅን የሚገልፅ ድጋፍ እና ከኢትዮጵያ ከፍተኛ ትምህርት መግቢያ የምስክር ወረቀት (EHEECE) ውስጥ አስፈላጊውን የማለፊያ ነጥብን ያገኙት ላይ የተመሠረተ ነው ፡፡ EIT-M ተመራቂዎችን በትምህርት ሚኒስቴር (MoE) እና / ወይም በዩኒቨርሲቲው በተመደበው የመግቢያ ብቃት ምዘና የሚያሟሉ በኢንጂነሪንግ ክፍለ ትምህርት ለማስተማርና ለማሠልጠን ተማሪዎችን ይቀበላል።,ኢንጂነሪንግ መግቢያ
የኢ አይ ቲ ኤም(EiTM) ፋካሊቲ ለመመዝገብ ምን አይነት መመዘኛዎች ያስፈልጉኛል?,የቅድመ ምረቃ መርሃ ግብሮች ምዝገባ የመሰናዶ ትምህርት ቤት ፕሮግራሙን ማጠናቀቅን የሚገልፅ ድጋፍ እና ከኢትዮጵያ ከፍተኛ ትምህርት መግቢያ የምስክር ወረቀት (EHEECE) ውስጥ አስፈላጊውን የማለፊያ ነጥብን ያገኙት ላይ የተመሠረተ ነው ፡፡ EIT-M ተመራቂዎችን በትምህርት ሚኒስቴር (MoE) እና / ወይም በዩኒቨርሲቲው በተመደበው የመግቢያ ብቃት ምዘና የሚያሟሉ በኢንጂነሪንግ ክፍለ ትምህርት ለማስተማርና ለማሠልጠን ተማሪዎችን ይቀበላል።,ኢንጂነሪንግ መግቢያ
በመቐለ ዩኒቨርሲቲ የሚሰጡ የምህንድስና ፕሮግራሞች ንገረኝ,የመቐለ ዩኒቨርሲቲ EIT-M የአካዳሚ የመጀመሪያ ድግሪ መርሃግብሮች-1. ሥነ-ህንፃ ዲዛይን(አርክቴክቸር) 2. የከተማ ፕላን እና ዲዛይን(አርባን ፕላኒንግና ዲዛይን) 3. ሲቪል ኢንጂነሪንግ 4. የውሃ ሀብት እና የመስኖ ኢንጂነሪንግ(ወተር ሪሶርስና ኢሪጌሽን ኢንጂነሪንግ) 5. ኤሌክትሪክ እና ኮምፒተር ኢንጂነሪንግ(ኤሌክትሪካልና ኮምፒተር ኢንጂነሪንግ) 6. መካኒካዊ ምህንድስና(መካኒካል ኢንጂነሪንግ) 7. የኢንዱስትሪ ኢንጂነሪንግ(ኢንዳስትሪያል ኢንጂነሪንግ) 8. ኬሚካዊ ኢንጂነሪንግ(ኬሚካል ኢንጂነሪንግ) 9. የኮምፒተር ሳይንስ 10. የመረጃ ሥርዓቶች(ኢንፎርሜሽን ስይስተም) 11. የሶፍትዌር ኢንጂነሪንግ ፡፡,ኢንጂነሪንግ ፕሮግራም
በመቐለ ዩኒቨርሲቲ የኢንጂነሪንግ ዲፓርትመንቶች ዘርዝርልኝ,የመቐለ ዩኒቨርሲቲ EIT-M የአካዳሚ የመጀመሪያ ድግሪ መርሃግብሮች-1. ሥነ-ህንፃ ዲዛይን(አርክቴክቸር) 2. የከተማ ፕላን እና ዲዛይን(አርባን ፕላኒንግና ዲዛይን) 3. ሲቪል ኢንጂነሪንግ 4. የውሃ ሀብት እና የመስኖ ኢንጂነሪንግ(ወተር ሪሶርስና ኢሪጌሽን ኢንጂነሪንግ) 5. ኤሌክትሪክ እና ኮምፒተር ኢንጂነሪንግ(ኤሌክትሪካልና ኮምፒተር ኢንጂነሪንግ) 6. መካኒካዊ ምህንድስና(መካኒካል ኢንጂነሪንግ) 7. የኢንዱስትሪ ኢንጂነሪንግ(ኢንዳስትሪያል ኢንጂነሪንግ) 8. ኬሚካዊ ኢንጂነሪንግ(ኬሚካል ኢንጂነሪንግ) 9. የኮምፒተር ሳይንስ 10. የመረጃ ሥርዓቶች(ኢንፎርሜሽን ስይስተም) 11. የሶፍትዌር ኢንጂነሪንግ ፡፡,ኢንጂነሪንግ ፕሮግራም
በመቐለ ኢኣይቲኤም የሚሰጡ ፕሮግራሞች ምንድን ናቸው?,የመቐለ ዩኒቨርሲቲ EIT-M የአካዳሚ የመጀመሪያ ድግሪ መርሃግብሮች-1. ሥነ-ህንፃ ዲዛይን(አርክቴክቸር) 2. የከተማ ፕላን እና ዲዛይን(አርባን ፕላኒንግና ዲዛይን) 3. ሲቪል ኢንጂነሪንግ 4. የውሃ ሀብት እና የመስኖ ኢንጂነሪንግ(ወተር ሪሶርስና ኢሪጌሽን ኢንጂነሪንግ) 5. ኤሌክትሪክ እና ኮምፒተር ኢንጂነሪንግ(ኤሌክትሪካልና ኮምፒተር ኢንጂነሪንግ) 6. መካኒካዊ ምህንድስና(መካኒካል ኢንጂነሪንግ) 7. የኢንዱስትሪ ኢንጂነሪንግ(ኢንዳስትሪያል ኢንጂነሪንግ) 8. ኬሚካዊ ኢንጂነሪንግ(ኬሚካል ኢንጂነሪንግ) 9. የኮምፒተር ሳይንስ 10. የመረጃ ሥርዓቶች(ኢንፎርሜሽን ስይስተም) 11. የሶፍትዌር ኢንጂነሪንግ ፡፡,ኢንጂነሪንግ ፕሮግራም
በመቀለ ዩኒቨርሲቲ ያሉት የኢንጂነሪንግ ዲፓርትመንት ንገረኝ,የመቐለ ዩኒቨርሲቲ EIT-M የአካዳሚ የመጀመሪያ ድግሪ መርሃግብሮች-1. ሥነ-ህንፃ ዲዛይን(አርክቴክቸር) 2. የከተማ ፕላን እና ዲዛይን(አርባን ፕላኒንግና ዲዛይን) 3. ሲቪል ኢንጂነሪንግ 4. የውሃ ሀብት እና የመስኖ ኢንጂነሪንግ(ወተር ሪሶርስና ኢሪጌሽን ኢንጂነሪንግ) 5. ኤሌክትሪክ እና ኮምፒተር ኢንጂነሪንግ(ኤሌክትሪካልና ኮምፒተር ኢንጂነሪንግ) 6. መካኒካዊ ምህንድስና(መካኒካል ኢንጂነሪንግ) 7. የኢንዱስትሪ ኢንጂነሪንግ(ኢንዳስትሪያል ኢንጂነሪንግ) 8. ኬሚካዊ ኢንጂነሪንግ(ኬሚካል ኢንጂነሪንግ) 9. የኮምፒተር ሳይንስ 10. የመረጃ ሥርዓቶች(ኢንፎርሜሽን ስይስተም) 11. የሶፍትዌር ኢንጂነሪንግ ፡፡,ኢንጂነሪንግ ፕሮግራም
በትምህርት ውጤት ምክንያት ከተባረርኩ ዲጋሜ መመዝገብ ይቻላልን?,በትምህርታዊ ምክንያቶች የተባረረ እና መልሶ መመዝገብ የተፈቀደለት ተማሪ ፣ ተማሪውን የተባረረበት ሴሚስተር እንደገና ይደግማል፤ እናም አካዴሚያዊ ጉድለት ያሳየበትን ትምህርት ብቻ እንዲመዘገብ ይፈቀድለታል።,ዳግም ምዝገባ
በውጤቴ ምክንያት ትምህርት ለምድገም ከተፈቀድልኝ ምንድነው ማጠናው?,በትምህርታዊ ምክንያቶች የተባረረ እና መልሶ መመዝገብ የተፈቀደለት ተማሪ ፣ ተማሪውን የተባረረበት ሴሚስተር እንደገና ይደግማል፤ እናም አካዴሚያዊ ጉድለት ያሳየበትን ትምህርት ብቻ እንዲመዘገብ ይፈቀድለታል።,ዳግም ምዝገባ
በትምህርት ምክንያት ድጋሜ ለመማር የተፈቀድለት ተማሪ ሁሉም ኮርሶች ነው የሚማረው?,በትምህርታዊ ምክንያቶች የተባረረ እና መልሶ መመዝገብ የተፈቀደለት ተማሪ ፣ ተማሪውን የተባረረበት ሴሚስተር እንደገና ይደግማል፤ እናም አካዴሚያዊ ጉድለት ያሳየበትን ትምህርት ብቻ እንዲመዘገብ ይፈቀድለታል።,ዳግም ምዝገባ
በትምህርት ምክንያት ድጋሜ ለመማር የተፈቀድለት ተማሪ ሁሉም ኮርሶች ነው የሚደግመው?,በትምህርታዊ ምክንያቶች የተባረረ እና መልሶ መመዝገብ የተፈቀደለት ተማሪ ፣ ተማሪውን የተባረረበት ሴሚስተር እንደገና ይደግማል፤ እናም አካዴሚያዊ ጉድለት ያሳየበትን ትምህርት ብቻ እንዲመዘገብ ይፈቀድለታል።,ዳግም ምዝገባ
በትምህርት ምክንያት ድጋሜ ለመማር የተፈቀድለት ተማሪ ሁሉም ትምህርት ነው የሚደግመው?,በትምህርታዊ ምክንያቶች የተባረረ እና መልሶ መመዝገብ የተፈቀደለት ተማሪ ፣ ተማሪውን የተባረረበት ሴሚስተር እንደገና ይደግማል፤ እናም አካዴሚያዊ ጉድለት ያሳየበትን ትምህርት ብቻ እንዲመዘገብ ይፈቀድለታል።,ዳግም ምዝገባ
የዩኒቨርስቲው መርሀ ግብሮች የት ነው ሚገኘው?,በዩኒቨርስቲው ድህረገፅ በካላንደር(የቀን መቁጠርያ) የዓመቱ መርሃግብሮች ማየት ትችላላችሁ፡፡  http://www.mu.edu.et/index.php/academic/academic-program/academic-calendar,መርሃ ግብሮች
የዩኒቨርስቲው መርሀ ግብሮች የት ነው ሚገኘው?,በዩኒቨርስቲው ድህረገፅ በካላንደር(የቀን መቁጠርያ) የዓመቱ መርሃግብሮች ማየት ትችላላችሁ፡፡  http://www.mu.edu.et/index.php/academic/academic-program/academic-calendar,መርሃ ግብሮች
የዩኒቨርስቲው ፕሮግራሞች የት ነው ሚገኘው?,በዩኒቨርስቲው ድህረገፅ በካላንደር(የቀን መቁጠርያ) የዓመቱ መርሃግብሮች ማየት ትችላላችሁ፡፡  http://www.mu.edu.et/index.php/academic/academic-program/academic-calendar,መርሃ ግብሮች
የዩኒቨርስቲው መርሃ ግብሮች የሚያሳይ የት ነው ሚገኘው?,በዩኒቨርስቲው ድህረገፅ በካላንደር(የቀን መቁጠርያ) የዓመቱ መርሃግብሮች ማየት ትችላላችሁ፡፡  http://www.mu.edu.et/index.php/academic/academic-program/academic-calendar,መርሃ ግብሮች
የዩኒቨርስቲው የፕሮግራሞች ካላንደር የት ነው ምከታተልው?,በዩኒቨርስቲው ድህረገፅ በካላንደር(የቀን መቁጠርያ) የዓመቱ መርሃግብሮች ማየት ትችላላችሁ፡፡  http://www.mu.edu.et/index.php/academic/academic-program/academic-calendar,መርሃ ግብሮች
የዩኒቨርስቲው ካላንደር የት ነው ማየው?,በዩኒቨርስቲው ድህረገፅ በካላንደር(የቀን መቁጠርያ) የዓመቱ መርሃግብሮች ማየት ትችላላችሁ፡፡  http://www.mu.edu.et/index.php/academic/academic-program/academic-calendar,መርሃ ግብሮች
የኮርስ የጊዜ ሰሌዳዬን መለወጥ እችላለሁን?,ሁሉም ተማሪዎች በየክፍለ-ጊዜው በሚመዘገቡት፣ በሬጅስትራር በሚወጣ የክፍል የጊዜ ሰሌዳ መሠረት ትምህርቶቹን ማክበር እና በመደበኛነት መከታተል አለባቸው ፡፡ በእያንዳንዱ ሴሚስተር መጨረሻ እያንዳንዱ ተማሪዎች በሬጅስትራር እና በአመራር በተሰጣቸው የፈተና መርሃ ግብር መሠረት ፈተና መዘጋጀት አለባቸው። ኮርሶችን በመጨመር ምክንያት የትምህርት ፕሮግራም(የክላስ የጊዜ ሰሌዳ) ወይም የፈተና የጊዜ ሰሌዳ  ግጭቶች በሚከሰቱበት ጊዜ አንድ ተማሪ መርሐግብር ለያዘው ሬጅስትራር ጽ / ቤት ሪፖርት ማድረግ አለበት ፡፡ ስለዚህ ሬጅስትራሩ ተቀባይነት ያላቸውን ምክንያቶች ተመልክቶ ውሳኔ ያስተላልፋል ፡፡,ስኬጁል
የክላስ ክፍለ ጊዜ መቀየር ይቻላል?,ሁሉም ተማሪዎች በየክፍለ-ጊዜው በሚመዘገቡት፣ በሬጅስትራር በሚወጣ የክፍል የጊዜ ሰሌዳ መሠረት ትምህርቶቹን ማክበር እና በመደበኛነት መከታተል አለባቸው ፡፡ በእያንዳንዱ ሴሚስተር መጨረሻ እያንዳንዱ ተማሪዎች በሬጅስትራር እና በአመራር በተሰጣቸው የፈተና መርሃ ግብር መሠረት ፈተና መዘጋጀት አለባቸው። ኮርሶችን በመጨመር ምክንያት የትምህርት ፕሮግራም(የክላስ የጊዜ ሰሌዳ) ወይም የፈተና የጊዜ ሰሌዳ  ግጭቶች በሚከሰቱበት ጊዜ አንድ ተማሪ መርሐግብር ለያዘው ሬጅስትራር ጽ / ቤት ሪፖርት ማድረግ አለበት ፡፡ ስለዚህ ሬጅስትራሩ ተቀባይነት ያላቸውን ምክንያቶች ተመልክቶ ውሳኔ ያስተላልፋል ፡፡,ስኬጁል
